"Kod";"Nazwa";"ogółem;1999;[ha]";"ogółem;2000;[ha]";"ogółem;2001;[ha]";"ogółem;2002;[ha]";"ogółem;2003;[ha]";"ogółem;2004;[ha]";"ogółem;2005;[ha]";"ogółem;2006;[ha]";"ogółem;2007;[ha]";"ogółem;2008;[ha]";"ogółem;2009;[ha]";"ogółem;2010;[ha]";"ogółem;2011;[ha]";"ogółem;2012;[ha]";"ogółem;2013;[ha]";"ogółem;2014;[ha]";"ogółem;2015;[ha]";"ogółem;2016;[ha]";"ogółem;2017;[ha]";"ogółem;2018;[ha]";"ogółem;2019;[ha]";"ogółem;2020;[ha]";"ogółem;2021;[ha]";"ogółem;2022;[ha]";"ogółem;2023;[ha]";"ogółem;2024;[ha]";
0201000;"Powiat bolesławiecki";;67056,0;67290,2;67472,5;68410,4;78548,5;78608,8;78828,1;78937,0;78976,9;79000,2;79024,7;79251,4;79291,4;79298,48;79385,15;79444,12;79553,47;79562,30;79468,91;79404,87;79384,97;79348,18;79509,00;79702,27;79763,27;
0202000;"Powiat dzierżoniowski";;9991,1;10032,4;10022,3;10031,0;10033,0;10045,2;10065,1;10089,8;10078,4;10078,3;10081,2;10091,6;10091,8;10077,93;10046,79;10052,65;10067,70;10066,41;10066,49;10062,67;10058,09;10057,88;10055,60;10072,57;10073,72;
0203000;"Powiat głogowski";;8668,0;8664,4;8646,0;8674,6;8707,1;8814,9;8895,5;8945,2;8953,9;8971,9;9122,3;9127,2;9234,3;9318,98;9338,30;9341,32;9946,59;9958,38;9973,86;10001,34;10001,77;10099,58;10096,32;10105,01;10108,65;
0204000;"Powiat górowski";;20671,8;20711,6;20913,5;20988,5;21018,0;21031,7;21036,4;21218,2;21273,2;21285,3;21361,5;21426,9;21448,8;21570,47;21575,53;21651,11;21650,06;21708,84;21732,88;21734,21;21734,13;21825,30;21908,91;21909,58;21894,43;
0205000;"Powiat jaworski";;12471,6;12488,1;12518,2;12542,6;12571,4;12617,9;12646,3;12745,2;12817,9;12831,6;12852,7;12867,7;12874,7;12886,18;12904,83;12914,37;12920,55;12922,14;12930,42;12936,88;12934,73;13015,59;13016,53;13020,14;13027,90;
0206000;"Powiat karkonoski";;30123,0;30228,0;30458,0;30481,2;30513,0;30516,1;30582,6;30637,4;30709,7;30696,0;30723,9;30722,4;30714,5;30739,89;30724,16;30757,82;30751,47;30775,70;30793,88;30807,57;30811,76;30902,63;30903,86;30873,61;30863,86;
0207000;"Powiat kamiennogórski";;14834,0;14863,0;14897,4;14979,9;15015,8;15095,7;15198,1;15265,4;15278,0;15280,5;15294,5;15302,3;15342,9;15329,34;15345,49;15331,22;15325,21;15333,33;15335,96;15347,54;15366,85;15296,54;15297,98;15307,46;15312,84;
0208000;"Powiat kłodzki";;70303,2;70529,5;70665,1;70840,0;71053,8;71330,0;71633,8;71753,1;71793,3;71849,2;72036,5;72149,7;72202,0;72241,40;72273,11;72283,21;72277,25;72257,74;72228,65;72292,33;72351,00;72606,67;72696,83;72710,53;72641,10;
0209000;"Powiat legnicki";;11412,2;11407,9;11443,3;11459,5;11523,3;11529,7;11604,1;11640,2;11658,7;11659,2;11731,9;11722,3;11773,1;11866,29;11868,83;11855,87;11865,87;11869,40;11889,85;11893,42;11918,40;11948,05;11914,14;11911,62;11912,75;
0210000;"Powiat lubański";;9860,5;9915,6;9926,5;9933,4;9967,5;9976,8;9977,5;10066,2;10130,2;10140,9;10196,0;10213,3;10221,4;10223,01;10237,81;10265,39;10289,41;10322,83;10368,46;10373,66;10373,77;10489,05;10490,18;10499,82;10490,46;
0211000;"Powiat lubiński";;21546,7;21633,6;21746,2;21825,2;21873,9;22134,4;22300,9;22319,3;22351,7;22464,7;22524,5;22650,2;22751,3;22796,07;22824,37;22741,13;22896,49;22951,73;22999,38;22861,38;22861,03;22805,77;22812,28;22820,43;22844,77;
0212000;"Powiat lwówecki";;23886,1;23924,4;23912,1;23931,9;24001,6;24031,1;24044,4;24099,8;24098,3;24120,5;24144,0;24211,3;24228,5;24340,60;24370,50;24470,33;24470,26;24448,72;24458,28;24540,72;24558,02;24752,48;24760,70;24790,78;24788,39;
0213000;"Powiat milicki";;29289,4;29303,6;29315,7;29436,5;29481,1;29641,6;29768,5;29768,4;29786,0;29818,1;29846,0;29850,4;29868,3;29867,35;29876,85;29917,95;29924,62;29933,62;29936,45;29930,38;29929,26;29935,50;29935,06;29961,20;29969,63;
0214000;"Powiat oleśnicki";;32592,6;32680,5;32839,3;32981,8;33121,2;33193,8;33325,1;33414,7;33473,0;33453,4;33461,1;33454,3;33451,5;33555,08;33824,86;33829,04;33822,71;33793,27;33910,16;33912,04;34048,22;34025,90;34043,84;34148,61;34185,15;
