"Kod";"Nazwa";"ogółem w ha;2013;[ha]";"ogółem w ha;2014;[ha]";"ogółem w ha;2015;[ha]";"ogółem w ha;2016;[ha]";"ogółem w ha;2017;[ha]";"ogółem w ha;2018;[ha]";"ogółem w ha;2019;[ha]";"ogółem w ha;2020;[ha]";"ogółem w ha;2021;[ha]";"ogółem w ha;2022;[ha]";"ogółem w ha;2023;[ha]";"ogółem w ha;2024;[ha]";
0201000;"Powiat bolesławiecki";130351;130351;130351;130351;130351;130351;130351;130351;130351;130349;130349;130349;
0202000;"Powiat dzierżoniowski";47851;47851;47851;47851;47851;47851;47851;47851;47851;47851;47851;47851;
0203000;"Powiat głogowski";44327;44327;44327;44327;44327;44327;44327;44327;44327;44326;44326;44326;
0204000;"Powiat górowski";73827;73827;73827;73827;73827;73827;73827;73827;73827;73825;73825;73825;
0205000;"Powiat jaworski";58155;58155;58155;58155;58155;58155;58155;58155;58155;58110;58110;58110;
0206000;"Powiat karkonoski";62714;62714;62714;62714;62714;62714;62714;62714;62714;62717;62716;62716;
0207000;"Powiat kamiennogórski";39569;39569;39569;39569;39569;39569;39569;39569;39569;39571;39571;39571;
0208000;"Powiat kłodzki";164330;164330;164330;164330;164330;164330;164330;164330;164330;164330;164330;164344;
0209000;"Powiat legnicki";74408;74408;74408;74408;74408;74408;74408;74408;74408;74401;74401;74401;
0210000;"Powiat lubański";42830;42830;42830;42830;42830;42830;42830;42830;42830;42834;42834;42834;
0211000;"Powiat lubiński";71162;71162;71162;71162;71162;71162;71162;71162;71162;71162;71162;71162;
0212000;"Powiat lwówecki";70969;70969;70969;70969;70969;70969;70969;70969;70969;70969;70969;70969;
0213000;"Powiat milicki";71493;71493;71493;71493;71493;71493;71493;71493;71493;71488;71488;71488;
0214000;"Powiat oleśnicki";104931;104931;104931;104931;104931;104931;104931;104931;104931;104935;104935;104935;
0215000;"Powiat oławski";52410;52410;52410;52410;52410;52410;52410;52410;52410;52404;52411;52411;
0216000;"Powiat polkowicki";77946;77946;77946;77946;77946;77946;77946;77946;77946;77970;77971;77971;
0217000;"Powiat strzeliński";62206;62206;62206;62206;62206;62206;62206;62206;62206;62195;62189;62189;
0218000;"Powiat średzki";70414;70414;70414;70414;70414;70414;70414;70414;70414;70420;70420;70420;
0219000;"Powiat świdnicki";74114;74114;74114;74114;74114;74114;74114;74114;74114;74142;74142;74142;
0220000;"Powiat trzebnicki";102478;102478;102478;102478;102478;102478;102478;102478;102478;102479;102479;102480;
0221000;"Powiat wałbrzyski";43022;43022;43022;43022;43022;43022;43022;43022;43022;43022;43021;43021;
0222000;"Powiat wołowski";67496;67496;67496;67496;67496;67496;67496;67496;67496;67495;67495;67495;
0223000;"Powiat wrocławski";111770;111770;111770;111770;111770;111770;111770;111770;111770;111790;111790;111790;
0224000;"Powiat ząbkowicki";80153;80153;80153;80153;80153;80153;80153;80153;80153;80163;80163;80149;
0225000;"Powiat zgorzelecki";83864;83864;83864;83860;83860;83860;83860;83860;83860;83861;83861;83861;
0226000;"Powiat złotoryjski";57581;57581;57581;57581;57581;57581;57581;57581;57581;57587;57587;57587;
0261000;"Powiat m. Jelenia Góra";10922;10922;10922;10922;10922;10922;10922;10922;10922;10930;10930;10930;
0262000;"Powiat m. Legnica";5629;5629;5629;5629;5629;5629;5629;5629;5629;5629;5629;5629;
0264000;"Powiat m. Wrocław";29282;29282;29282;29282;29282;29282;29282;29282;29282;29281;29281;29280;
0265000;"Powiat m. Wałbrzych od 2013";8470;8470;8470;8470;8470;8470;8470;8470;8470;8468;8468;8468;
0401000;"Powiat aleksandrowski";47463;47463;47463;47463;47463;47463;47463;47463;47463;47462;47462;47462;
0402000;"Powiat brodnicki";103997;103997;103997;103997;103997;103997;103997;103997;103997;103990;103990;103990;
0403000;"Powiat bydgoski";139412;139412;139412;139412;139412;139412;139412;139412;139412;139383;139404;139402;
0404000;"Powiat chełmiński";52694;52694;52694;52694;52694;52694;52694;52694;52694;52701;52701;52701;
0405000;"Powiat golubsko-dobrzyński";61285;61285;61285;61285;61285;61285;61285;61285;61285;61268;61268;61268;
0406000;"Powiat grudziądzki";72776;72776;72776;72776;72776;72776;72776;72776;72776;72879;72879;72879;
0407000;"Powiat inowrocławski";122518;122518;122518;122518;122518;122518;122518;122518;122518;122526;122526;122526;
0408000;"Powiat lipnowski";101574;101574;101574;101574;101574;101574;101574;101574;101574;101673;101673;101673;
0409000;"Powiat mogileński";67512;67512;67512;67512;67512;67512;67512;67512;67512;67515;67515;67515;
0410000;"Powiat nakielski";112008;112008;112008;112008;112008;112008;112008;112008;112008;112045;112045;112045;
0411000;"Powiat radziejowski";60720;60720;60720;60720;60720;60720;60720;60720;60720;60722;60722;60722;
0412000;"Powiat rypiński";58647;58647;58647;58647;58647;58647;58647;58647;58647;58671;58669;58669;
0413000;"Powiat sępoleński";79109;79109;79109;79109;79109;79109;79109;79109;79109;79095;79095;79095;
0414000;"Powiat świecki";147418;147418;147418;147418;147418;147418;147418;147418;147418;147421;147421;147421;
0415000;"Powiat toruński";123042;123042;123042;123042;123042;123042;123042;123042;123042;123059;123040;123040;
0416000;"Powiat tucholski";107546;107546;107546;107546;107546;107546;107546;107546;107546;107538;107538;107538;
0417000;"Powiat wąbrzeski";50195;50195;50195;50195;50195;50195;50195;50195;50195;50083;50083;50083;
0418000;"Powiat włocławski";147363;147363;147363;147363;147363;147363;147363;147363;147287;147196;147196;147196;
0419000;"Powiat żniński";98477;98477;98477;98477;98477;98477;98477;98477;98477;98475;98475;98477;
0461000;"Powiat m. Bydgoszcz";17598;17598;17598;17598;17598;17598;17598;17598;17598;17596;17596;17596;
0462000;"Powiat m. Grudziądz";5776;5776;5776;5776;5776;5776;5776;5776;5776;5776;5776;5776;
0463000;"Powiat m. Toruń";11572;11572;11572;11572;11572;11572;11572;11572;11572;11572;11572;11572;
0464000;"Powiat m. Włocławek";8432;8432;8432;8432;8432;8432;8432;8432;8508;8509;8509;8509;
0601000;"Powiat bialski";275426;275426;275426;275426;275426;275426;275426;275426;275426;275430;275430;275430;
0602000;"Powiat biłgorajski";168110;168110;168110;168110;168110;168110;168110;168110;168110;168100;168101;168101;
0603000;"Powiat chełmski";188560;188560;188560;188560;188560;188560;188560;188560;188560;188559;188090;188090;
0604000;"Powiat hrubieszowski";126802;126802;126802;126802;126802;126802;126802;126802;126802;127019;127018;127018;
0605000;"Powiat janowski";87528;87528;87528;87528;87528;87528;87528;87528;87528;87530;87530;87530;
0606000;"Powiat krasnostawski";103144;103144;103144;103144;103144;103144;103144;103144;103144;103142;103142;103142;
0607000;"Powiat kraśnicki";100530;100530;100530;100530;100530;100530;100530;100530;100530;100530;100530;100530;
0608000;"Powiat lubartowski";128874;128874;128874;128874;128874;128874;128874;128874;128874;128868;128868;128868;
0609000;"Powiat lubelski";167953;167953;167953;167953;167953;167953;167953;167953;167953;167958;167958;167958;
0610000;"Powiat łęczyński";63664;63664;63664;63664;63664;63664;63664;63664;63664;63661;63661;63661;
0611000;"Powiat łukowski";139421;139421;139421;139421;139421;139421;139421;139421;139421;139425;139425;139425;
0612000;"Powiat opolski";81002;81002;81002;81002;81002;81002;81002;81002;81002;81050;81050;81050;
0613000;"Powiat parczewski";95220;95220;95220;95220;95220;95220;95220;95220;95220;95219;95219;95219;
0614000;"Powiat puławski";93409;93409;93409;93409;93409;93409;93409;93409;93409;93376;93377;93377;
0615000;"Powiat radzyński";96506;96506;96506;96506;96506;96506;96506;96506;96506;96500;96500;96500;
0616000;"Powiat rycki";61453;61453;61453;61453;61453;61453;61453;61453;61453;61443;61443;61443;
0617000;"Powiat świdnicki";46835;46835;46835;46835;46835;46835;46835;46835;46835;46835;46835;46835;
0618000;"Powiat tomaszowski";148889;148889;148889;148889;148889;148889;148889;148889;148889;148676;148676;148676;
0619000;"Powiat włodawski";125642;125642;125642;125642;125642;125642;125642;125642;125642;125643;125643;125643;
0620000;"Powiat zamojski";187029;187029;187029;187029;187029;187029;187029;187029;187029;187033;187031;187031;
0661000;"Powiat m. Biała Podlaska";4940;4940;4940;4940;4940;4940;4940;4940;4940;4940;4940;4940;
0662000;"Powiat m. Chełm";3528;3528;3528;3528;3528;3528;3528;3528;3528;3528;3997;3997;
0663000;"Powiat m. Lublin";14747;14747;14747;14747;14747;14747;14747;14747;14747;14745;14746;14746;
0664000;"Powiat m. Zamość";3034;3034;3034;3034;3034;3034;3034;3034;3034;3033;3033;3033;
0801000;"Powiat gorzowski";121423;121423;121423;121423;121423;121423;121423;121423;121423;121422;121422;121422;
0802000;"Powiat krośnieński";139125;139125;139125;139125;139125;139125;139125;139125;139117;139009;138991;138991;
0803000;"Powiat międzyrzecki";138761;138761;138761;138761;138761;138761;138761;138761;138761;138759;138758;138758;
0804000;"Powiat nowosolski";77073;77073;77073;77073;77073;77073;77073;77073;77073;77075;77075;77380;
0805000;"Powiat słubicki";99929;99929;99929;99929;99929;99929;99929;99929;99937;99934;99931;99931;
0806000;"Powiat strzelecko-drezdenecki";124786;124786;124786;124786;124786;124786;124786;124786;124786;124781;124781;124781;
0807000;"Powiat sulęciński";117780;117780;117780;117780;117780;117780;117780;117780;117780;117789;117794;117794;
0808000;"Powiat świebodziński";93657;93657;93657;93657;93657;93657;93657;93657;93657;93661;93660;93660;
0809000;"Powiat zielonogórski";156973;156973;134975;134975;134975;134975;134975;134975;134981;135071;135089;135094;
0810000;"Powiat żagański";113178;113178;113178;113182;113182;113182;113182;113182;113182;113157;113157;113138;
0811000;"Powiat żarski";139278;139278;139278;139278;139278;139278;139278;139278;139278;139281;139281;139281;
0812000;"Powiat wschowski";62420;62420;62420;62420;62420;62420;62420;62420;62420;62433;62433;62433;
0861000;"Powiat m. Gorzów Wielkopolski";8572;8572;8572;8572;8572;8572;8572;8572;8572;8573;8573;8573;
0862000;"Powiat m. Zielona Góra";5834;5834;27832;27832;27832;27832;27832;27832;27826;27827;27827;27536;
1001000;"Powiat bełchatowski";96760;96760;96760;96760;96760;96760;96760;96760;96760;96761;96761;96761;
1002000;"Powiat kutnowski";88686;88686;88686;88686;88686;88686;88686;88686;88686;88686;88686;88686;
1003000;"Powiat łaski";61823;61823;61823;61823;61823;61823;61823;61823;61823;61830;61830;61830;
1004000;"Powiat łęczycki";77275;77275;77275;77275;77275;77275;77275;77275;77275;77277;77277;77277;
1005000;"Powiat łowicki";98817;98817;98817;98817;98817;98817;98817;98817;98817;98813;98813;98813;
1006000;"Powiat łódzki wschodni";49976;49976;49976;49976;49976;49976;49976;49976;49976;49981;49981;49981;
1007000;"Powiat opoczyński";104019;104019;104019;104019;104019;104019;104019;104019;104019;104016;104016;104016;
1008000;"Powiat pabianicki";49218;49218;49218;49218;49218;49218;49218;49218;49218;49221;49221;49221;
1009000;"Powiat pajęczański";80382;80382;80382;80382;80382;80382;80382;80382;80382;80418;80418;80418;
1010000;"Powiat piotrkowski";142874;142874;142874;142874;142874;142874;142874;142874;142874;142832;142832;142832;
1011000;"Powiat poddębicki";88121;88121;88121;88121;88121;88121;88121;88121;88121;88084;88084;88084;
1012000;"Powiat radomszczański";144257;144257;144257;144257;144257;144257;144257;144257;144257;144319;144319;144319;
1013000;"Powiat rawski";64620;64620;64620;64620;64620;64620;64620;64620;64620;64629;64629;64629;
1014000;"Powiat sieradzki";149083;149083;149083;149083;149083;149083;149083;149083;149083;149088;149088;149088;
1015000;"Powiat skierniewicki";75357;75357;75338;75338;75338;75338;75338;75338;75338;75338;75338;75338;
1016000;"Powiat tomaszowski";102479;102479;102479;102479;102479;102479;102479;102479;102479;102461;102461;102461;
1017000;"Powiat wieluński";92648;92648;92648;92648;92648;92648;92648;92648;92648;92624;92624;92624;
1018000;"Powiat wieruszowski";57713;57713;57713;57713;57713;57713;57713;57713;57713;57718;57718;57718;
1019000;"Powiat zduńskowolski";36923;36923;36923;36923;36923;36923;36923;36923;36923;36919;36919;36919;
1020000;"Powiat zgierski";85518;85518;85518;85518;85518;85518;85518;85518;85518;85519;85519;85519;
1021000;"Powiat brzeziński";35856;35856;35856;35856;35856;35856;35856;35856;35856;35855;35855;35855;
1061000;"Powiat m. Łódź";29325;29325;29325;29325;29325;29325;29325;29325;29325;29325;29325;29325;
1062000;"Powiat m. Piotrków Trybunalski";6724;6724;6724;6724;6724;6724;6724;6724;6724;6724;6724;6724;
1063000;"Powiat m. Skierniewice";3441;3441;3460;3460;3460;3460;3460;3460;3460;3460;3460;3460;
1201000;"Powiat bocheński";64856;64856;64856;64856;64856;64856;64856;64856;64856;64873;64873;64873;
1202000;"Powiat brzeski";59052;59052;59052;59052;59052;59052;59052;59052;59052;59063;59063;59063;
1203000;"Powiat chrzanowski";37160;37160;37160;37160;37012;37012;37012;37012;37012;36982;36982;36982;
1204000;"Powiat dąbrowski";53025;53025;53025;53025;53025;53025;53025;53025;53025;53024;53024;53024;
1205000;"Powiat gorlicki";96646;96646;96646;96646;96646;96646;96646;96646;96646;96632;96632;96632;
1206000;"Powiat krakowski";123052;123052;123052;123052;123052;123052;123052;123052;123052;123056;123056;123056;
1207000;"Powiat limanowski";95123;95123;95123;95123;95123;95123;95123;95123;95123;95124;95124;95124;
1208000;"Powiat miechowski";67629;67629;67629;67629;67629;67629;67629;67629;67629;67632;67633;67633;
1209000;"Powiat myślenicki";67308;67308;67308;67308;67308;67308;67308;67308;67308;67298;67298;67298;
1210000;"Powiat nowosądecki";154980;154980;154980;154980;154980;154980;154980;154980;154980;154990;154990;154990;
1211000;"Powiat nowotarski";147499;147499;147499;147499;147499;147499;147499;147499;147499;147507;147507;147507;
1212000;"Powiat olkuski";61811;61811;61811;61811;61811;61811;61811;61811;61811;61814;61814;61814;
1213000;"Powiat oświęcimski";40558;40558;40558;40558;40558;40558;40558;40558;40558;40621;40621;40621;
1214000;"Powiat proszowicki";41487;41487;41487;41487;41487;41487;41487;41487;41487;41489;41489;41489;
1215000;"Powiat suski";68571;68571;68571;68571;68571;68571;68571;68571;68571;68564;68564;68564;
1216000;"Powiat tarnowski";141158;141158;141158;141158;141158;141158;141158;141158;141158;141191;141191;141191;
1217000;"Powiat tatrzański";47165;47165;47165;47165;47165;47165;47165;47165;47165;47163;47163;47163;
