Kod;Nazwa;Udzielone_Noclegi;Prognoza
201000;Powiat bolesławiecki;157788.0;137157.58
202000;Powiat dzierżoniowski;99238.0;111939.08666666667
203000;Powiat głogowski;52097.0;49454.833333333336
204000;Powiat górowski;0.0;231.34
205000;Powiat jaworski;47905.0;56279.793333333335
206000;Powiat karkonoski;3171602.0;3073407.4066666667
207000;Powiat kamiennogórski;28252.0;27679.48
208000;Powiat kłodzki;2084117.0;1962458.3066666666
209000;Powiat legnicki;68039.0;74893.72
210000;Powiat lubański;917527.0;980787.44
211000;Powiat lubiński;57001.0;80359.78
212000;Powiat lwówecki;51244.0;52471.72666666667
213000;Powiat milicki;47396.0;52180.833333333336
214000;Powiat oleśnicki;76575.0;86088.54666666666
215000;Powiat oławski;66593.0;67319.28666666667
216000;Powiat polkowicki;0.0;1871.22
217000;Powiat strzeliński;0.0;1710.5333333333333
218000;Powiat średzki;0.0;9394.653333333334
219000;Powiat świdnicki;188808.0;194865.93333333332
220000;Powiat trzebnicki;50555.0;44502.91333333333
221000;Powiat wałbrzyski;279252.0;315854.9
222000;Powiat wołowski;11255.0;6950.373333333333
223000;Powiat wrocławski;274271.0;282267.2
224000;Powiat ząbkowicki;101591.0;80930.6
225000;Powiat zgorzelecki;114191.0;97733.96666666666
226000;Powiat złotoryjski;43679.0;35852.32666666667
261000;Powiat m. Jelenia Góra;620620.0;533418.32
262000;Powiat m. Legnica;166882.0;175362.21333333335
264000;Powiat m. Wrocław;2326150.0;2017516.0133333334
265000;Powiat m. Wałbrzych od 2013;108202.0;108896.77333333333
401000;Powiat aleksandrowski;1387218.0;1239171.5333333334
402000;Powiat brodnicki;119113.0;122686.33333333333
403000;Powiat bydgoski;107340.0;112476.48666666666
404000;Powiat chełmiński;9650.0;12238.153333333334
405000;Powiat golubsko-dobrzyński;49138.0;51045.96
406000;Powiat grudziądzki;7654.0;12983.453333333333
407000;Powiat inowrocławski;706298.0;662172.7933333333
408000;Powiat lipnowski;13307.0;27899.033333333333
409000;Powiat mogileński;20249.0;24064.18666666667
410000;Powiat nakielski;29729.0;33295.306666666664
