Kod;Nazwa;Rzeczywiste_2024;Prognoza_DD_2024;Roznica
201000;Bolesławiecki;157788.0;151852;-5936.0
202000;Dzierżoniowski;99238.0;95304;-3934.0
203000;Głogowski;52097.0;40067;-12030.0
204000;Górowski;0.0;0;0.0
205000;Jaworski;47905.0;31750;-16155.0
206000;Karkonoski;3171602.0;3201319;29717.0
207000;Kamiennogórski;28252.0;19502;-8750.0
208000;Kłodzki;2084117.0;2224212;140095.0
209000;Legnicki;68039.0;76282;8243.0
210000;Lubański;917527.0;986713;69186.0
211000;Lubiński;57001.0;82949;25948.0
212000;Lwówecki;51244.0;31750;-19494.0
213000;Milicki;47396.0;51189;3793.0
214000;Oleśnicki;76575.0;78724;2149.0
215000;Oławski;66593.0;63582;-3011.0
216000;Polkowicki;0.0;0;0.0
217000;Strzeliński;0.0;0;0.0
218000;Średzki;0.0;10505;10505.0
219000;Świdnicki;188808.0;170792;-18016.0
220000;Trzebnicki;50555.0;46937;-3618.0
221000;Wałbrzyski;279252.0;340484;61232.0
222000;Wołowski;11255.0;11770;515.0
223000;Wrocławski;274271.0;361813;87542.0
224000;Ząbkowicki;101591.0;71571;-30020.0
225000;Zgorzelecki;114191.0;98893;-15298.0
226000;Złotoryjski;43679.0;31356;-12323.0
261000;M. Jelenia Góra;620620.0;596734;-23886.0
262000;M. Legnica;166882.0;170475;3593.0
264000;M. Wrocław;2326150.0;2224212;-101938.0
265000;M. Wałbrzych Od 2013;108202.0;114806;6604.0
401000;Aleksandrowski;1387218.0;1442966;55748.0
402000;Brodnicki;119113.0;86441;-32672.0
403000;Bydgoski;107340.0;114937;7597.0
404000;Chełmiński;9650.0;14029;4379.0
405000;Golubsko-Dobrzyński;49138.0;48963;-175.0
406000;Grudziądzki;7654.0;11089;3435.0
407000;Inowrocławski;706298.0;679960;-26338.0
408000;Lipnowski;13307.0;30933;17626.0
409000;Mogileński;20249.0;21144;895.0
410000;Nakielski;29729.0;32390;2661.0
411000;Radziejowski;13788.0;5619;-8169.0
412000;Rypiński;6376.0;9931;3555.0
413000;Sępoleński;39352.0;27408;-11944.0
414000;Świecki;100749.0;89042;-11707.0
415000;Toruński;96416.0;98181;1765.0
416000;Tucholski;90530.0;104016;13486.0
417000;Wąbrzeski;13745.0;12112;-1633.0
418000;Włocławski;407790.0;392652;-15138.0
419000;Żniński;204712.0;196602;-8110.0
461000;M. Bydgoszcz;543079.0;596734;53655.0
462000;M. Grudziądz;107981.0;108356;375.0
463000;M. Toruń;568025.0;596734;28709.0
464000;M. Włocławek;83230.0;86141;2911.0
601000;Bialski;146790.0;192849;46059.0
602000;Biłgorajski;24622.0;22117;-2505.0
603000;Chełmski;14063.0;15340;1277.0
604000;Hrubieszowski;31079.0;32390;1311.0
605000;Janowski;34418.0;47795;13377.0
606000;Krasnostawski;14813.0;14509;-304.0
607000;Kraśnicki;0.0;6356;6356.0
608000;Lubartowski;31778.0;42760;10982.0
609000;Lubelski;102341.0;142055;39714.0
610000;Łęczyński;5504.0;19036;13532.0
611000;Łukowski;10918.0;23303;12385.0
612000;Opolski;35427.0;28609;-6818.0
613000;Parczewski;23760.0;30786;7026.0
614000;Puławski;627065.0;812731;185666.0
615000;Radzyński;5103.0;6015;912.0
616000;Rycki;0.0;11592;11592.0
617000;Świdnicki;29251.0;0;-29251.0
618000;Tomaszowski;78394.0;94936;16542.0
619000;Włodawski;80091.0;80250;159.0
620000;Zamojski;200040.0;209769;9729.0
661000;M. Biała Podlaska;52707.0;57677;4970.0
662000;M. Chełm;64037.0;57677;-6360.0
663000;M. Lublin;639993.0;671647;31654.0
664000;M. Zamość;115801.0;121813;6012.0
801000;Gorzowski;56511.0;55808;-703.0
802000;Krośnieński;31443.0;61605;30162.0
803000;Międzyrzecki;108586.0;86467;-22119.0
804000;Nowosolski;74348.0;78724;4376.0
805000;Słubicki;230484.0;267940;37456.0
806000;Strzelecko-Drezdenecki;122132.0;93715;-28417.0
807000;Sulęciński;108137.0;80250;-27887.0
808000;Świebodziński;236988.0;209769;-27219.0
809000;Zielonogórski;50377.0;31750;-18627.0
810000;Żagański;20844.0;18533;-2311.0
811000;Żarski;69580.0;27747;-41833.0
812000;Wschowski;111996.0;95607;-16389.0
861000;M. Gorzów Wielkopolski;109800.0;114742;4942.0
862000;M. Zielona Góra;135549.0;68514;-67035.0
1001000;Bełchatowski;100161.0;95304;-4857.0
1002000;Kutnowski;38602.0;42097;3495.0
1003000;Łaski;36349.0;32390;-3959.0
1004000;Łęczycki;0.0;0;0.0
1005000;Łowicki;33131.0;37924;4793.0
1006000;Łódzki Wschodni;33216.0;36225;3009.0
1007000;Opoczyński;14710.0;14085;-625.0
