Kod;Nazwa;Rzeczywiste_2024;Prognoza_RL_2024;Roznica
201000;Bolesławiecki;157788.0;116535;-41253.0
202000;Dzierżoniowski;99238.0;109550;10312.0
203000;Głogowski;52097.0;38090;-14007.0
204000;Górowski;0.0;-15462;-15462.0
205000;Jaworski;47905.0;49430;1525.0
206000;Karkonoski;3171602.0;2984653;-186949.0
207000;Kamiennogórski;28252.0;15150;-13102.0
208000;Kłodzki;2084117.0;2003626;-80491.0
209000;Legnicki;68039.0;65296;-2743.0
210000;Lubański;917527.0;809582;-107945.0
211000;Lubiński;57001.0;68837;11836.0
212000;Lwówecki;51244.0;44130;-7114.0
213000;Milicki;47396.0;39822;-7574.0
214000;Oleśnicki;76575.0;63132;-13443.0
215000;Oławski;66593.0;57783;-8810.0
216000;Polkowicki;0.0;-9783;-9783.0
217000;Strzeliński;0.0;-5674;-5674.0
218000;Średzki;0.0;3725;3725.0
219000;Świdnicki;188808.0;176223;-12585.0
220000;Trzebnicki;50555.0;37225;-13330.0
221000;Wałbrzyski;279252.0;242910;-36342.0
222000;Wołowski;11255.0;-5582;-16837.0
223000;Wrocławski;274271.0;256301;-17970.0
224000;Ząbkowicki;101591.0;85575;-16016.0
225000;Zgorzelecki;114191.0;103295;-10896.0
226000;Złotoryjski;43679.0;26971;-16708.0
261000;M. Jelenia Góra;620620.0;545550;-75070.0
262000;M. Legnica;166882.0;197460;30578.0
264000;M. Wrocław;2326150.0;2236591;-89559.0
265000;M. Wałbrzych Od 2013;108202.0;115163;6961.0
401000;Aleksandrowski;1387218.0;1246358;-140860.0
402000;Brodnicki;119113.0;144990;25877.0
403000;Bydgoski;107340.0;110064;2724.0
404000;Chełmiński;9650.0;7642;-2008.0
405000;Golubsko-Dobrzyński;49138.0;37371;-11767.0
406000;Grudziądzki;7654.0;9825;2171.0
407000;Inowrocławski;706298.0;601578;-104720.0
408000;Lipnowski;13307.0;13568;261.0
409000;Mogileński;20249.0;17491;-2758.0
410000;Nakielski;29729.0;20870;-8859.0
411000;Radziejowski;13788.0;6444;-7344.0
412000;Rypiński;6376.0;-4425;-10801.0
413000;Sępoleński;39352.0;25950;-13402.0
414000;Świecki;100749.0;74731;-26018.0
415000;Toruński;96416.0;92570;-3846.0
416000;Tucholski;90530.0;85569;-4961.0
417000;Wąbrzeski;13745.0;14268;523.0
418000;Włocławski;407790.0;332302;-75488.0
419000;Żniński;204712.0;204827;115.0
461000;M. Bydgoszcz;543079.0;563302;20223.0
462000;M. Grudziądz;107981.0;135533;27552.0
463000;M. Toruń;568025.0;573950;5925.0
464000;M. Włocławek;83230.0;94296;11066.0
601000;Bialski;146790.0;160030;13240.0
602000;Biłgorajski;24622.0;15164;-9458.0
603000;Chełmski;14063.0;6232;-7831.0
604000;Hrubieszowski;31079.0;22855;-8224.0
605000;Janowski;34418.0;23983;-10435.0
606000;Krasnostawski;14813.0;8106;-6707.0
607000;Kraśnicki;0.0;-9668;-9668.0
608000;Lubartowski;31778.0;40916;9138.0
609000;Lubelski;102341.0;101849;-492.0
610000;Łęczyński;5504.0;11648;6144.0
611000;Łukowski;10918.0;-3805;-14723.0
612000;Opolski;35427.0;23394;-12033.0
613000;Parczewski;23760.0;18065;-5695.0
614000;Puławski;627065.0;624800;-2265.0
615000;Radzyński;5103.0;-4867;-9970.0
616000;Rycki;0.0;-68;-68.0
617000;Świdnicki;29251.0;20010;-9241.0
618000;Tomaszowski;78394.0;79748;1354.0
619000;Włodawski;80091.0;123230;43139.0
620000;Zamojski;200040.0;231935;31895.0
661000;M. Biała Podlaska;52707.0;67686;14979.0
662000;M. Chełm;64037.0;82329;18292.0
663000;M. Lublin;639993.0;693651;53658.0
664000;M. Zamość;115801.0;174015;58214.0
801000;Gorzowski;56511.0;42202;-14309.0
802000;Krośnieński;31443.0;17095;-14348.0
803000;Międzyrzecki;108586.0;118151;9565.0
804000;Nowosolski;74348.0;54883;-19465.0
805000;Słubicki;230484.0;231850;1366.0
806000;Strzelecko-Drezdenecki;122132.0;89162;-32970.0
807000;Sulęciński;108137.0;89527;-18610.0
808000;Świebodziński;236988.0;226660;-10328.0
809000;Zielonogórski;50377.0;42197;-8180.0
810000;Żagański;20844.0;-4062;-24906.0
811000;Żarski;69580.0;36477;-33103.0
812000;Wschowski;111996.0;129351;17355.0
861000;M. Gorzów Wielkopolski;109800.0;131821;22021.0
862000;M. Zielona Góra;135549.0;134829;-720.0
1001000;Bełchatowski;100161.0;93852;-6309.0
