Kod;Nazwa;Rzeczywiste_2024;Prognoza_WG_2024;Roznica
201000;Bolesławiecki;157788.0;132625;-25163.0
202000;Dzierżoniowski;99238.0;107874;8636.0
203000;Głogowski;52097.0;43463;-8634.0
204000;Górowski;0.0;2071;2071.0
205000;Jaworski;47905.0;52026;4121.0
206000;Karkonoski;3171602.0;2967289;-204313.0
207000;Kamiennogórski;28252.0;23914;-4338.0
208000;Kłodzki;2084117.0;1980614;-103503.0
209000;Legnicki;68039.0;60209;-7830.0
210000;Lubański;917527.0;898603;-18924.0
211000;Lubiński;57001.0;75092;18091.0
212000;Lwówecki;51244.0;47694;-3550.0
213000;Milicki;47396.0;44044;-3352.0
214000;Oleśnicki;76575.0;67099;-9476.0
215000;Oławski;66593.0;66310;-283.0
216000;Polkowicki;0.0;7256;7256.0
217000;Strzeliński;0.0;2761;2761.0
218000;Średzki;0.0;6522;6522.0
219000;Świdnicki;188808.0;183043;-5765.0
220000;Trzebnicki;50555.0;37633;-12922.0
221000;Wałbrzyski;279252.0;283607;4355.0
222000;Wołowski;11255.0;7675;-3580.0
223000;Wrocławski;274271.0;269002;-5269.0
224000;Ząbkowicki;101591.0;82383;-19208.0
225000;Zgorzelecki;114191.0;96662;-17529.0
226000;Złotoryjski;43679.0;32295;-11384.0
261000;M. Jelenia Góra;620620.0;550874;-69746.0
262000;M. Legnica;166882.0;180574;13692.0
264000;M. Wrocław;2326150.0;2131737;-194413.0
265000;M. Wałbrzych Od 2013;108202.0;97774;-10428.0
401000;Aleksandrowski;1387218.0;1450765;63547.0
402000;Brodnicki;119113.0;112488;-6625.0
403000;Bydgoski;107340.0;106246;-1094.0
404000;Chełmiński;9650.0;11149;1499.0
405000;Golubsko-Dobrzyński;49138.0;42583;-6555.0
406000;Grudziądzki;7654.0;9299;1645.0
407000;Inowrocławski;706298.0;690985;-15313.0
408000;Lipnowski;13307.0;20373;7066.0
409000;Mogileński;20249.0;20678;429.0
410000;Nakielski;29729.0;27870;-1859.0
411000;Radziejowski;13788.0;6859;-6929.0
412000;Rypiński;6376.0;2761;-3615.0
413000;Sępoleński;39352.0;26729;-12623.0
414000;Świecki;100749.0;71598;-29151.0
415000;Toruński;96416.0;86263;-10153.0
416000;Tucholski;90530.0;93049;2519.0
417000;Wąbrzeski;13745.0;10592;-3153.0
418000;Włocławski;407790.0;379936;-27854.0
419000;Żniński;204712.0;201257;-3455.0
461000;M. Bydgoszcz;543079.0;562766;19687.0
462000;M. Grudziądz;107981.0;107299;-682.0
463000;M. Toruń;568025.0;551597;-16428.0
464000;M. Włocławek;83230.0;85110;1880.0
601000;Bialski;146790.0;151442;4652.0
602000;Biłgorajski;24622.0;21919;-2703.0
603000;Chełmski;14063.0;10303;-3760.0
604000;Hrubieszowski;31079.0;26750;-4329.0
605000;Janowski;34418.0;34484;66.0
606000;Krasnostawski;14813.0;11279;-3534.0
607000;Kraśnicki;0.0;2456;2456.0
608000;Lubartowski;31778.0;44444;12666.0
609000;Lubelski;102341.0;89557;-12784.0
610000;Łęczyński;5504.0;11727;6223.0
611000;Łukowski;10918.0;8681;-2237.0
612000;Opolski;35427.0;29510;-5917.0
613000;Parczewski;23760.0;21724;-2036.0
614000;Puławski;627065.0;689810;62745.0
615000;Radzyński;5103.0;5987;884.0
616000;Rycki;0.0;7770;7770.0
617000;Świdnicki;29251.0;28638;-613.0
618000;Tomaszowski;78394.0;66438;-11956.0
619000;Włodawski;80091.0;87545;7454.0
620000;Zamojski;200040.0;212826;12786.0
661000;M. Biała Podlaska;52707.0;59170;6463.0
662000;M. Chełm;64037.0;61332;-2705.0
663000;M. Lublin;639993.0;733187;93194.0
664000;M. Zamość;115801.0;126094;10293.0
801000;Gorzowski;56511.0;44333;-12178.0
802000;Krośnieński;31443.0;30307;-1136.0
803000;Międzyrzecki;108586.0;103336;-5250.0
804000;Nowosolski;74348.0;60670;-13678.0
805000;Słubicki;230484.0;274474;43990.0
806000;Strzelecko-Drezdenecki;122132.0;84839;-37293.0
